"Berichtshafen";"Wien";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Graz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Klagenfurt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Linz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Innsbruck";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Salzburg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Verkehrsbeziehung";"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;
"Werte";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";
"Jun.17";10211;;1135911;;-;;8910741;;541964;;10215;;1167406;;1167406;;8568042;;572485;;-;;8935;;-;;1690321;;10240;;640;;44411;;-;;3637;;-;;642;;45325;;45325;;7596;;-;;-;;1313;;-;;-;;-;;210;;10170;;-;;-;;-;;208;;9468;;9468;;-;;-;;-;;-;;-;;-;;-;;327;;20029;;-;;187316;;-;;329;;20730;;20730;;343927;;-;;-;;1123;;-;;406627;;-;;382;;27858;;-;;2695;;-;;382;;26864;;26864;;5994;;-;;-;;517;;-;;-;;-;;806;;74678;;-;;4718;;-;;806;;73405;;73405;;13365;;-;;-;;511;;-;;-;;-;;
"Mai.17";10254;;1114780;;-;;8384704;;508358;;10246;;1106097;;1106097;;8198079;;563788;;-;;6862;;-;;832888;;10534;;649;;45347;;-;;5520;;-;;648;;45753;;45753;;8476;;-;;-;;380;;-;;-;;-;;185;;9267;;-;;-;;-;;184;;9047;;9047;;-;;-;;-;;75;;-;;-;;-;;323;;18456;;-;;178677;;152;;322;;18484;;18484;;353271;;10;;-;;1009;;-;;422080;;-;;362;;22984;;-;;2445;;-;;361;;23872;;23872;;4043;;-;;-;;99;;-;;-;;-;;736;;64507;;-;;5851;;-;;735;;64545;;64545;;9746;;-;;-;;711;;-;;-;;-;;
"Apr.17";9314;;1056963;;-;;9348178;;465489;;9317;;1059137;;1059137;;8183049;;573020;;-;;4698;;-;;2143580;;26164;;586;;38702;;-;;5781;;-;;586;;39173;;39173;;9332;;-;;-;;554;;-;;-;;-;;169;;7946;;-;;-;;-;;169;;8187;;8187;;-;;-;;-;;167;;-;;-;;-;;268;;14289;;-;;168803;;-;;268;;16297;;16297;;316639;;-;;-;;175;;-;;360585;;-;;486;;40653;;-;;2110;;-;;490;;50439;;50439;;3388;;-;;-;;43;;-;;-;;-;;737;;65129;;-;;5812;;-;;739;;70181;;70181;;11353;;-;;-;;215;;-;;-;;-;;
"M�r.17";8745;;866592;;-;;10272633;;529195;;8760;;849206;;849206;;8625510;;617834;;-;;9505;;-;;1472342;;25629;;614;;38065;;-;;5045;;-;;614;;38528;;38528;;9039;;-;;-;;298;;-;;-;;-;;171;;8598;;-;;-;;-;;171;;9008;;9008;;-;;-;;-;;10;;-;;-;;-;;278;;13515;;-;;210974;;-;;278;;13673;;13673;;385316;;-;;-;;382;;-;;440327;;-;;867;;94158;;-;;3249;;-;;864;;98940;;98940;;4383;;-;;-;;43;;-;;-;;-;;1016;;101103;;-;;8495;;-;;1016;;113528;;113528;;10887;;-;;-;;-;;-;;-;;-;;
"Feb.17";7309;;692324;;-;;7732827;;442031;;7307;;690310;;690310;;6989508;;556897;;-;;9775;;-;;1170333;;24535;;504;;30755;;-;;4455;;-;;504;;30933;;30933;;10658;;-;;-;;359;;-;;-;;-;;165;;7660;;-;;-;;-;;165;;7693;;7693;;-;;-;;-;;15;;-;;-;;-;;238;;11797;;-;;174915;;1;;237;;11701;;11701;;325831;;82;;-;;768;;-;;363871;;-;;812;;93974;;-;;2486;;-;;809;;92911;;92911;;4796;;-;;-;;-;;-;;-;;-;;1042;;118181;;-;;3514;;-;;1044;;116412;;116412;;15975;;-;;-;;181;;-;;-;;-;;
"J�n.17";7860;;710347;;-;;7830242;;496062;;7883;;722632;;722632;;6236499;;686849;;-;;12133;;-;;1425415;;23902;;509;;28662;;-;;6182;;-;;502;;29492;;29492;;6952;;-;;-;;265;;-;;-;;-;;164;;6807;;-;;-;;-;;163;;7659;;7659;;-;;-;;-;;2;;-;;-;;-;;230;;10306;;-;;158789;;15;;228;;10637;;10637;;309626;;-;;-;;471;;-;;294570;;-;;851;;88995;;-;;4749;;-;;855;;88029;;88029;;4183;;-;;-;;-;;-;;-;;-;;1022;;108519;;-;;4510;;-;;1017;;107703;;107703;;10333;;-;;-;;-;;-;;-;;-;;
"Dez.16";8500;;861051;;-;;8342257;;636553;;8477;;870309;;870309;;7524430;;953090;;-;;9965;;-;;1486788;;13181;;483;;31636;;-;;6757;;-;;490;;30992;;30992;;8232;;-;;-;;308;;-;;-;;-;;162;;7597;;-;;-;;-;;163;;6608;;6608;;-;;-;;-;;166;;-;;-;;-;;208;;10555;;-;;181633;;-;;211;;10082;;10082;;481350;;-;;-;;498;;-;;80887;;-;;560;;57784;;-;;3939;;-;;557;;43905;;43905;;4103;;-;;-;;-;;-;;578;;-;;751;;78585;;-;;6060;;-;;754;;65822;;65822;;15176;;-;;-;;1;;-;;-;;-;;
"Nov.16";8782;;898259;;-;;10401296;;521687;;8785;;860213;;860213;;7577573;;765952;;-;;8441;;-;;1733956;;29474;;560;;37553;;-;;7219;;-;;561;;36691;;36691;;10872;;-;;-;;-;;-;;-;;-;;174;;6508;;-;;-;;-;;174;;6748;;6748;;-;;-;;-;;6;;-;;-;;-;;283;;14241;;-;;179160;;62;;283;;14079;;14079;;425070;;130;;-;;143;;-;;355644;;-;;277;;14825;;-;;2224;;-;;279;;14757;;14757;;3817;;-;;-;;-;;-;;-;;-;;520;;43148;;-;;4072;;-;;519;;41646;;41646;;12440;;-;;-;;74;;-;;-;;-;;
"Okt.16";10178;;1063085;;-;;11031470;;538719;;10171;;1094875;;1094875;;8125865;;643638;;-;;8850;;-;;1832317;;21312;;633;;45633;;-;;5990;;-;;633;;45044;;45044;;10004;;-;;-;;189;;-;;-;;-;;154;;6906;;-;;-;;-;;152;;7391;;7391;;-;;-;;-;;3;;-;;-;;-;;310;;17646;;-;;150870;;70;;310;;16425;;16425;;335987;;83;;-;;189;;-;;342237;;-;;299;;18247;;-;;3672;;-;;299;;17335;;17335;;2388;;-;;-;;29;;-;;-;;-;;566;;52050;;-;;7097;;-;;566;;52968;;52968;;16545;;-;;-;;178;;-;;-;;-;;
"Sep.16";10466;;1195506;;-;;9904551;;493140;;10467;;1147797;;1147797;;7894793;;594939;;-;;8724;;-;;2194996;;11945;;703;;55600;;-;;7412;;-;;703;;50216;;50216;;9124;;-;;-;;46;;-;;-;;-;;60;;3679;;-;;-;;-;;61;;3657;;3657;;-;;-;;-;;13;;-;;-;;-;;370;;26276;;-;;187345;;136;;370;;24322;;24322;;367626;;1612;;-;;165;;-;;376123;;-;;411;;29386;;-;;2868;;-;;410;;29727;;29727;;6356;;-;;-;;302;;-;;-;;-;;654;;68338;;-;;7916;;-;;655;;67284;;67284;;15663;;-;;-;;130;;-;;-;;-;;
"Aug.16";10409;;1192992;;-;;8744754;;451880;;10407;;1189045;;1189045;;7166490;;572570;;-;;9519;;-;;1510980;;19656;;646;;48665;;-;;5359;;-;;644;;48624;;48624;;9634;;-;;-;;340;;-;;-;;-;;190;;10074;;-;;-;;-;;191;;11162;;11162;;-;;-;;-;;8;;-;;-;;-;;376;;24968;;-;;169065;;-;;376;;25592;;25592;;367833;;61;;-;;541;;-;;302426;;-;;372;;28703;;-;;2890;;-;;373;;29588;;29588;;4515;;-;;-;;90;;-;;-;;-;;690;;67840;;-;;10455;;-;;689;;71386;;71386;;12215;;-;;-;;411;;-;;-;;-;;
"Jul.16";10470;;1184192;;-;;9316134;;422826;;10474;;1236790;;1236790;;7613220;;589270;;-;;10337;;-;;1876360;;2936;;703;;49658;;-;;11575;;-;;705;;54206;;54206;;9279;;-;;-;;410;;-;;-;;-;;194;;11388;;-;;-;;-;;193;;10678;;10678;;-;;-;;-;;4;;-;;-;;-;;392;;25177;;-;;177797;;-;;391;;26167;;26167;;355121;;-;;-;;1000;;-;;289166;;-;;448;;32442;;-;;3611;;-;;445;;32418;;32418;;4178;;-;;-;;75;;-;;-;;-;;706;;70041;;-;;5973;;-;;709;;70901;;70901;;16529;;-;;-;;432;;-;;-;;-;;
"Jun.16";10196;;1058000;;-;;10199025;;363897;;10195;;1084504;;1084504;;7237888;;591129;;-;;6043;;-;;1044206;;12217;;694;;49683;;-;;8680;;-;;694;;50320;;50320;;8233;;-;;-;;995;;-;;-;;-;;182;;9746;;-;;-;;-;;183;;9389;;9389;;-;;-;;-;;17;;-;;-;;-;;367;;21604;;-;;189049;;83;;368;;23204;;23204;;398105;;118;;-;;1245;;-;;335571;;-;;414;;27818;;-;;4324;;-;;417;;27778;;27778;;4200;;-;;-;;88;;-;;-;;-;;654;;64039;;-;;7967;;-;;652;;62721;;62721;;18480;;-;;-;;157;;-;;-;;-;;
"Mai.16";10310;;1048328;;-;;10440634;;408350;;10319;;1047354;;1047354;;7463720;;587295;;-;;6606;;-;;1584833;;16430;;650;;44338;;-;;6097;;-;;646;;43612;;43612;;96429;;-;;-;;284;;-;;-;;-;;198;;9756;;-;;-;;-;;196;;9190;;9190;;-;;-;;-;;337;;-;;-;;-;;356;;21365;;-;;209925;;-;;355;;22202;;22202;;346272;;-;;-;;533;;-;;271903;;-;;368;;22718;;-;;3131;;-;;367;;23264;;23264;;4602;;-;;-;;446;;-;;-;;-;;646;;57792;;-;;6483;;-;;645;;59112;;59112;;11895;;-;;-;;853;;-;;-;;-;;
"Apr.16";9484;;923645;;-;;10211388;;443584;;9475;;919831;;919831;;7858426;;666150;;-;;6815;;-;;1572078;;15884;;585;;36137;;-;;5367;;-;;587;;37718;;37718;;4494;;-;;-;;282;;-;;182;;-;;179;;7472;;-;;-;;-;;180;;7960;;7960;;-;;-;;-;;8;;-;;-;;-;;320;;16793;;-;;174817;;-;;321;;18564;;18564;;346417;;-;;-;;559;;-;;295910;;-;;407;;26026;;-;;3459;;-;;408;;36953;;36953;;3655;;-;;-;;43;;-;;-;;-;;658;;48795;;-;;5729;;-;;658;;55837;;55837;;18975;;-;;-;;129;;-;;-;;-;;
"M�r.16";8902;;860903;;-;;9202104;;426280;;8910;;842727;;842727;;7836019;;679856;;-;;7299;;-;;1589548;;17547;;548;;34963;;-;;38729;;-;;548;;34725;;34725;;6655;;-;;-;;192;;-;;-;;-;;171;;9223;;-;;-;;-;;170;;9083;;9083;;-;;-;;-;;-;;-;;-;;-;;249;;12900;;-;;192964;;-;;249;;12991;;12991;;372942;;113;;-;;131;;-;;141788;;-;;770;;81486;;-;;3187;;-;;769;;85170;;85170;;5085;;-;;-;;13;;-;;-;;-;;976;;98768;;-;;5030;;-;;977;;106782;;106782;;13233;;-;;-;;-;;-;;-;;-;;
"Feb.16";7709;;674452;;-;;7435608;;362975;;7693;;664661;;664661;;6769999;;577357;;-;;9688;;-;;1517537;;5593;;505;;29897;;-;;4542;;-;;505;;30273;;30273;;8462;;-;;-;;6;;-;;-;;-;;150;;7741;;-;;-;;-;;151;;7721;;7721;;-;;-;;-;;-;;-;;-;;-;;236;;11532;;-;;149161;;95;;236;;12093;;12093;;353793;;81;;-;;404;;-;;95172;;-;;778;;83376;;-;;3879;;-;;778;;80481;;80481;;7650;;-;;-;;-;;-;;-;;-;;985;;107575;;-;;5656;;-;;986;;105026;;105026;;13390;;-;;-;;184;;-;;-;;-;;
"J�n.16";7794;;657559;;-;;8060821;;389045;;7822;;673700;;673700;;6674162;;674046;;-;;8387;;-;;1458201;;8503;;455;;25611;;-;;3643;;-;;451;;26565;;26565;;6212;;-;;-;;294;;-;;-;;-;;163;;6995;;-;;-;;-;;161;;7618;;7618;;-;;-;;-;;137;;-;;-;;-;;228;;10103;;-;;140820;;-;;225;;10775;;10775;;275349;;2;;-;;404;;-;;228467;;-;;803;;80905;;-;;4046;;-;;804;;80518;;80518;;5900;;-;;-;;-;;-;;-;;-;;1049;;109989;;-;;6862;;-;;1046;;110087;;110087;;9229;;-;;-;;207;;-;;-;;-;;
